timestamp_transaction,transaction_amount,revenue,timestamp_on_account_balance,account_number,account_balance,branch_name,branch_location,foot_traffic,account_type,account_count,loan_type,loan_amount,timestamp_on_satisfaction_rating,satisfaction_rating,investment_product,return_on_investment,location_customer,customer_count,timestamp_ATM_transaction,ATM_location,transaction_count,Timestamp_on_ATM_transaction,metric_compliance_security_metric,metric_value
5/27/2017,"$8,266.52 ","$7,902.62 ",5/18/2019,5.04837E+15,"$94,231.51 ",78 Hazelcrest Way,American Ash,447,,50,,"$238,624.33 ",11/21/2018,44.111.255.178,Energy,"$78,555.97 ",9126 Waubesa Parkway,38,5/3/2016,Crowley,99,3/25/2020,145.65.34.76,202.191.98.94
4/20/2021,"$4,315.32 ","$4,753.11 ",12/10/2021,5.10875E+15,"$83,676.80 ",311 Arrowood Avenue,Mandrake,1196,,65,,"$616,975.62 ",4/15/2020,222.198.11.45,n/a,"$79,098.91 ",97 Arkansas Parkway,54,11/13/2019,Rigney,85,10/31/2020,46.40.59.167,252.173.35.42
8/18/2018,"$1,139.87 ","$2,175.48 ",8/31/2020,5.04838E+15,"$27,513.53 ",4518 Sachtjen Trail,Hansons,1016,,93,,"$761,304.57 ",10/24/2022,131.62.231.5,Finance,"$84,143.80 ",1 Leroy Place,2,2/17/2016,Morrow,28,9/14/2020,7.235.192.195,37.176.135.162
1/24/2022,"$8,824.26 ","$4,665.32 ",2/10/2019,5.10875E+15,"$32,988.85 ",5692 Cardinal Street,Manufacturers,1803,,29,,"$413,253.19 ",2/3/2022,10.193.182.216,n/a,"$93,644.97 ",5 Lakewood Drive,78,5/6/2021,Cambridge,60,10/27/2018,18.248.226.70,71.213.172.161
2/22/2018,"$6,175.92 ","$1,657.89 ",12/24/2021,5.04838E+15,"$20,816.63 ",78991 Browning Parkway,Melvin,1322,,47,,"$905,812.19 ",2/22/2019,17.135.229.157,n/a,"$90,970.01 ",36 Coolidge Point,60,9/29/2017,Everett,73,6/14/2021,231.85.247.237,1.34.88.85
12/25/2017,"$3,264.18 ","$5,981.17 ",9/7/2021,5.10876E+15,"$98,258.23 ",09969 Mallory Place,Fieldstone,389,,41,,"$221,644.05 ",7/22/2019,222.246.33.177,Technology,"$55,732.40 ",520 Northridge Hill,32,5/18/2016,Anderson,4,4/13/2019,51.192.67.182,244.236.115.92
4/11/2017,"$8,537.44 ","$2,355.88 ",5/11/2021,5.04837E+15,"$91,329.41 ",46851 Manitowish Crossing,Ryan,1450,,48,,"$488,916.36 ",5/14/2022,170.23.223.150,Technology,"$10,355.27 ",94 Vernon Lane,49,3/27/2018,Lien,58,4/20/2020,1.106.253.153,209.87.32.82
9/24/2017,"$4,935.36 ","$7,955.01 ",10/15/2021,5.10876E+15,"$59,007.73 ",514 Wayridge Trail,7th,1058,,2,,"$648,435.93 ",5/11/2020,164.27.197.151,Public Utilities,"$19,583.76 ",2261 Center Crossing,78,6/10/2020,Hagan,34,6/6/2020,58.62.50.238,240.39.34.166
1/25/2017,"$6,529.88 ","$5,395.16 ",8/23/2021,5.10875E+15,"$94,612.92 ",7 Meadow Valley Circle,Lyons,907,,13,,"$905,362.41 ",8/31/2022,253.83.42.30,n/a,"$10,861.30 ",6 Mitchell Pass,28,6/30/2016,Lillian,84,6/27/2018,67.187.131.125,103.150.225.86
3/17/2017,"$9,162.40 ","$6,020.58 ",2/28/2020,5.10876E+15,"$17,675.87 ",1810 Utah Alley,Bluestem,1853,,19,,"$736,758.99 ",11/19/2022,5.81.222.89,Technology,"$84,123.87 ",694 Spenser Alley,33,1/27/2019,Sutteridge,24,10/22/2021,193.246.247.59,206.15.71.88
7/17/2022,"$7,060.73 ","$1,561.42 ",9/19/2021,5.10875E+15,"$95,831.34 ",775 Iowa Parkway,Kim,1697,,58,,"$833,374.27 ",8/19/2022,122.13.198.150,Consumer Services,"$62,395.78 ",1088 Sycamore Center,19,4/9/2018,Melby,75,3/4/2018,125.85.53.161,50.36.85.32
6/30/2021,"$9,083.93 ","$9,254.33 ",8/29/2022,5.10876E+15,"$82,186.19 ",12209 Eastwood Plaza,Boyd,1942,,65,,"$663,035.92 ",12/26/2019,105.75.111.180,Public Utilities,"$4,742.13 ",34 Sheridan Crossing,23,7/19/2018,Kim,60,2/18/2018,234.214.5.6,31.129.195.187
2/12/2022,"$8,152.95 ","$9,025.51 ",3/21/2022,5.04837E+15,"$75,932.39 ",01 Vidon Plaza,Twin Pines,1942,,76,,"$909,945.34 ",10/6/2021,149.161.218.237,Finance,"$86,227.66 ",29 Northland Junction,98,4/2/2020,Fieldstone,92,7/14/2020,81.123.254.220,224.251.183.37
7/7/2019,"$1,601.26 ","$7,763.19 ",1/7/2021,5.04838E+15,"$9,125.51 ",01 Carioca Junction,High Crossing,1825,,78,,"$552,969.05 ",1/19/2022,73.175.206.59,Consumer Services,"$57,067.04 ",5545 Melvin Plaza,88,7/12/2017,Lukken,32,10/9/2022,154.40.130.53,182.130.241.121
6/7/2017,$801.47 ,"$2,357.00 ",2/11/2018,5.04838E+15,"$31,261.93 ",641 Swallow Street,New Castle,1138,,89,,"$886,138.26 ",6/23/2020,120.59.151.231,n/a,"$69,174.19 ",873 Katie Street,83,10/27/2020,Kinsman,11,4/22/2019,15.243.34.152,62.57.66.201
4/6/2019,"$5,191.11 ","$3,051.21 ",7/11/2020,5.10876E+15,"$68,602.00 ",3744 Service Avenue,Burning Wood,123,,34,,"$327,865.99 ",1/20/2020,121.66.140.81,Consumer Non-Durables,"$24,747.26 ",16 Canary Pass,40,11/15/2019,Dennis,90,4/27/2022,131.65.105.151,224.62.10.131
12/7/2022,"$2,576.20 ","$3,116.29 ",6/24/2021,5.04837E+15,"$1,693.18 ",72448 East Circle,Bunting,238,,43,,"$978,643.57 ",7/25/2018,153.250.69.148,Health Care,"$76,567.48 ",484 Schurz Crossing,75,5/31/2022,Manitowish,96,1/4/2019,249.143.107.202,115.209.204.152
7/23/2019,"$9,097.52 ","$9,057.09 ",4/16/2022,5.10875E+15,"$99,314.30 ",44 Trailsway Trail,Hoepker,319,,5,,"$869,612.54 ",1/1/2021,46.55.18.244,Consumer Services,"$86,316.40 ",22 Elgar Alley,69,3/13/2019,Manitowish,18,2/11/2021,164.56.222.51,152.42.181.110
