timestamp_transaction, transaction_amount($) , revenue($) ,timestamp_on_account_balance,account_number, account_balance($) ,branch_name,branch_location,foot_traffic,account_type,account_count,loan_type, loan_amount($) ,timestamp_on_satisfaction_rating,satisfaction_rating,investment_product, return_on_investment($) ,location_customer,customer_count,timestamp_ATM_transaction,ATM_location,transaction_count,Timestamp_on_ATM_transaction,metric_compliance_security_metric,metric_value
6/8/2017," 2,647.10 "," 2,185.21 ",6/20/2020,5.04838E+15," 71,843.14 ",7 Prairieview Park,Graƒçec,104,Checking†,1,mortgage," 614,479.91 ",Poor,Poor,Capital Goods," 85,962.55 ",Tinambacan,93,1/5/2021,Hudson Bay,19,4/6/2020,,
12/18/2022," 8,465.04 "," 8,148.44 ",8/8/2022,5.04837E+15," 60,653.11 ",4609 Hansons Park,Brooklyn,363,Checking†,3,auto," 670,762.46 ",Unsatisfactory,Unsatisfactory,Transportation," 30,730.62 ",Lau,83,1/12/2021,Comalapa,8,6/22/2020,,
10/11/2020," 9,835.72 "," 1,646.12 ",9/19/2021,5.04837E+15," 85,856.47 ",62 Columbus Alley,Krzy≈ºan√≥w,452,Checking†,3,education," 153,800.23 ",Good,Good,Finance," 81,081.44 ",New York City,68,5/25/2017,Dmitriyevka,42,11/11/2018,,
6/5/2018, 623.64 ," 4,483.09 ",4/27/2018,5.10875E+15," 65,661.42 ",61 Forest Hill,Kahn≈´j,829,Checking†,3,business," 877,093.69 ",†Very Good†,†Very Good†,n/a," 94,128.53 ",Heshui,32,3/13/2020,Mumen,29,11/10/2020,,
8/31/2019," 2,216.50 "," 6,454.47 ",12/15/2021,5.04838E+15," 91,991.51 ",7485 Morning Pass,Hallstavik,1913,Checking†,3,personal," 178,184.92 ",†Outstanding,†Outstanding,Technology," 9,181.11 ",Baƒákowice,8,7/9/2022,Ciudian,24,9/17/2018,,
2/15/2018," 9,476.57 ", 100.71 ,6/4/2018,5.10875E+15," 32,715.52 ",4362 Corry Way,A√±atuya,1591,Checking†,1,personal," 821,010.30 ",Poor,Poor,Consumer Non-Durables," 27,666.72 ",Burao,66,1/31/2022,JalƒÅlpur Pƒ´rwƒÅla,24,5/17/2018,,
4/6/2020," 2,494.92 ", 455.26 ,1/6/2021,5.10876E+15," 71,008.60 ",7189 7th Center,Bida,1903,Checking†,2,personal," 756,996.80 ",Unsatisfactory,Unsatisfactory,Finance," 7,352.72 ",Quipot,48,8/28/2018,Saint Louis,6,10/19/2021,,
10/6/2017," 2,418.78 "," 1,436.20 ",5/15/2021,5.04837E+15," 12,065.73 ",2760 Autumn Leaf Crossing,Nungga,1442,Checking†,2,personal," 402,703.69 ",Good,Good,Consumer Services," 95,564.61 ",Bungur,54,7/13/2017,Komprachcice,19,8/31/2019,,
12/6/2021," 4,976.50 ", 908.23 ,4/27/2018,5.10876E+15," 4,063.31 ",4 Rigney Trail,Lappeenranta,100,Checking†,4,personal," 589,508.05 ",†Very Good†,†Very Good†,Finance," 52,395.67 ",Qesarya,44,1/19/2019,Songkar B,36,8/12/2020,,
2/8/2022," 7,937.71 "," 2,605.39 ",11/11/2022,5.10876E+15," 97,061.23 ",26587 Kenwood Place,Cankova,1591,Checking†,5,personal," 391,157.87 ",†Outstanding,†Outstanding,Health Care," 50,281.89 ",Strogino,93,7/31/2016,Barrinha,36,1/2/2022,,
10/21/2020," 1,541.83 "," 5,866.20 ",7/27/2022,5.04837E+15," 17,646.26 ",8 Gateway Pass,Munka-Ljungby,1416,Checking†,1,personal," 545,427.94 ",Poor,Poor,Consumer Services," 40,323.49 ",Zhongshan,81,10/7/2017,Cimaung Kidul,14,5/21/2021,,
8/12/2022," 9,393.01 ", 484.09 ,3/19/2022,5.10876E+15," 30,805.15 ",7941 Shelley Point,Xagmakajor,235,Checking†,1,personal," 751,284.56 ",Unsatisfactory,Unsatisfactory,n/a," 60,186.63 ",SarvƒÅbƒÅd,26,10/29/2020,Licheng,17,10/7/2019,,
6/1/2021," 5,640.62 "," 2,069.01 ",8/6/2020,5.10876E+15," 63,458.57 ",58 Sugar Hill,Hongyuan,362,Checking†,3,personal," 318,942.28 ",Good,Good,Consumer Durables," 93,813.74 ",Mulleriyawa,16,5/29/2019,Memphis,10,12/11/2020,,
1/6/2018, 536.88 ," 7,491.43 ",7/2/2019,5.10875E+15," 49,216.54 ",62 Towne Road,Tambangan,166,Checking†,3,personal," 274,361.28 ",†Very Good†,†Very Good†,Consumer Services," 20,103.76 ",Mand≈çl,33,12/30/2018,Campinho,19,10/30/2019,,
3/4/2017," 6,202.57 "," 6,782.25 ",12/6/2019,5.04837E+15," 90,561.99 ",87 Forster Avenue,Brusyanka,1695,Checking†,4,personal," 412,441.28 ",†Outstanding,†Outstanding,Technology," 3,767.11 ",Musan-≈≠p,18,12/14/2021,Pouso Alegre,13,11/15/2020,,
8/27/2022," 5,135.99 "," 6,628.83 ",6/29/2021,5.04837E+15," 97,816.05 ",57044 Debra Plaza,S√£o Paulo de Oliven√ßa,1505,Checking†,5,personal," 999,940.01 ",Poor,Poor,n/a," 69,620.54 ",Jana√∫ba,5,5/25/2022,Liljendal,23,5/7/2018,,
12/25/2021, 869.87 ," 9,979.90 ",7/21/2021,5.10876E+15," 35,867.21 ",3079 Ruskin Crossing,Miaofengshan,752,Checking†,3,personal," 462,280.26 ",Unsatisfactory,Unsatisfactory,Consumer Services," 54,431.85 ",Xiaoyan,50,7/16/2016,Bagan,28,3/29/2018,,
3/3/2022," 9,568.29 "," 1,776.61 ",2/17/2018,5.10875E+15," 46,292.93 ",144 Fordem Place,Santo Tom√©,1562,Checking†,1,mortgage," 917,471.24 ",Good,Good,Health Care," 52,921.14 ",Ambarakaraka,60,9/17/2016,KsiƒÖ≈º Wielkopolski,27,11/11/2021,,
5/6/2018," 9,732.15 ", 716.44 ,8/14/2019,5.10875E+15," 87,458.02 ",35 Claremont Alley,Paita,1944,Checking†,3,mortgage," 324,937.03 ",†Very Good†,†Very Good†,Finance," 61,245.36 ",Plesn√°,37,4/9/2018,Huanxi,40,11/30/2022,,
7/9/2022," 2,431.76 "," 8,381.23 ",1/13/2020,5.04837E+15," 38,123.89 ",7882 Parkside Pass,Sapphaya,718,Savings,2,mortgage," 822,744.84 ",†Outstanding,†Outstanding,Public Utilities," 70,892.61 ",Sansann√©-Mango,25,1/30/2020,Paprotnia,46,9/27/2019,,
9/6/2021," 1,300.50 "," 9,903.98 ",5/6/2018,5.10876E+15," 28,236.57 ",0705 Stephen Pass,Pensacola,1956,Savings,3,mortgage," 275,341.27 ",Poor,Poor,Finance," 87,350.68 ",Orissaare,100,12/19/2021,Almelo,40,4/29/2021,,
9/5/2020," 1,759.55 "," 1,753.84 ",11/19/2021,5.04837E+15," 39,301.79 ",1 Hayes Avenue,√ñstersund,1342,Savings,5,mortgage," 642,528.73 ",Unsatisfactory,Unsatisfactory,Finance," 84,239.42 ",Yuqian,52,5/24/2020,Gadzhiyevo,31,5/2/2019,,
9/25/2021," 6,796.26 "," 5,854.90 ",5/6/2019,5.04838E+15, 367.74 ,23 Schlimgen Street,Shiziling,62,Savings,2,mortgage," 884,110.82 ",Good,Good,Basic Industries, 121.38 ,Tall Abya·∏ë,65,7/8/2020,Arari,13,4/9/2020,,
2/5/2017," 3,754.50 "," 4,662.34 ",8/31/2018,5.04837E+15," 74,385.64 ",72796 Green Junction,Ucuncha,555,Savings,3,mortgage," 212,545.12 ",†Very Good†,†Very Good†,n/a," 66,628.46 ",B√©ziers,83,1/29/2018,Jiahu,36,5/25/2020,,
11/22/2020," 9,407.51 "," 4,475.97 ",12/22/2021,5.10876E+15," 11,093.77 ",9605 Dryden Park,Libouchec,488,Savings,4,mortgage," 722,755.58 ",†Outstanding,†Outstanding,Capital Goods," 12,699.74 ",Gaotang,38,8/23/2022,San Miguel,45,11/8/2020,,
3/31/2018," 3,846.17 "," 4,754.70 ",4/10/2020,5.04837E+15," 72,367.24 ",0 Summerview Point,Ojos de Agua,1536,Savings,2,mortgage," 207,211.83 ",Poor,Poor,Capital Goods," 54,293.81 ",Cambu√≠,54,2/25/2020,Br√©tigny-sur-Orge,23,1/21/2019,,
9/28/2022, 261.19 ," 2,900.51 ",8/12/2022,5.10876E+15," 99,220.03 ",2451 Algoma Drive,Tuupovaara,1928,Savings,4,mortgage," 978,783.14 ",Unsatisfactory,Unsatisfactory,Energy," 95,599.32 ",Kyzylorda,58,7/18/2017,Gongli,7,5/6/2020,,
11/3/2020, 600.11 ," 2,454.08 ",10/14/2018,5.04837E+15," 86,343.64 ",38 Bultman Way,V√°ri,841,Savings,2,mortgage," 254,038.06 ",Good,Good,n/a," 99,520.20 ",Shimokizukuri,17,7/5/2021,Alagoa Grande,1,4/26/2022,,
9/16/2022," 4,206.88 "," 1,632.74 ",7/27/2020,5.04837E+15," 7,489.47 ",6734 Rockefeller Road,Villa Carlos Paz,654,Savings,2,mortgage," 577,996.55 ",†Very Good†,†Very Good†,Consumer Services," 95,866.13 ",Keroak,18,8/11/2020,L√°rdos,29,2/10/2021,,
4/3/2021," 2,959.83 ", 902.63 ,8/22/2019,5.10876E+15," 66,656.53 ",4718 Kenwood Point,Himi,141,Savings,3,mortgage," 649,378.68 ",†Outstanding,†Outstanding,Capital Goods," 28,245.60 ",El Refugio,98,2/4/2019,Djibouti,10,9/12/2020,,
5/21/2018," 5,773.43 "," 2,040.54 ",9/28/2019,5.04837E+15," 78,509.92 ",605 Stoughton Street,Guyang,696,Savings,5,mortgage," 966,940.92 ",Poor,Poor,Capital Goods," 85,102.73 ",Kansas City,41,9/5/2020,Slobidka,37,4/19/2020,,
12/5/2020," 9,656.03 "," 9,978.85 ",10/25/2019,5.04837E+15," 37,775.13 ",2 Upham Way,Dongxi,1059,Savings,4,mortgage," 792,375.62 ",Unsatisfactory,Unsatisfactory,Finance," 32,185.67 ",Sukowiryo,45,9/15/2018,Huangwei,38,5/26/2020,,
10/11/2018," 9,678.01 "," 2,471.69 ",6/20/2022,5.04837E+15," 6,437.66 ",5357 Graedel Junction,La Libertad,1117,Savings,2,mortgage," 906,547.38 ",Good,Good,n/a," 74,695.65 ",Groningen,84,10/21/2018,Chixi,31,2/11/2020,,
9/5/2017," 2,392.45 ", 151.93 ,8/7/2020,5.04838E+15," 70,375.99 ",4 Eggendart Trail,Laiyuan,1923,Savings,3,mortgage," 917,038.93 ",†Very Good†,†Very Good†,n/a," 3,401.64 ",Zavidovo,39,4/14/2021,Mpraeso,17,1/21/2022,,
12/23/2021," 1,949.85 "," 4,420.13 ",8/21/2021,5.10876E+15," 41,331.24 ",6622 Clove Street,Longshe,332,Savings,2,mortgage," 774,309.83 ",†Outstanding,†Outstanding,Transportation," 95,657.15 ",Rendeng,39,3/19/2022,Khlong Toei,49,1/25/2020,,
4/30/2021," 7,068.06 "," 6,226.56 ",5/11/2022,5.10876E+15," 64,511.02 ",57769 Moland Alley,Telgawah,1190,Savings,4,mortgage," 496,431.75 ",Poor,Poor,n/a," 83,128.88 ",Sokol,13,1/24/2021,Bradashesh,45,9/23/2021,,
7/6/2021," 1,097.14 ", 349.04 ,2/2/2022,5.04838E+15," 72,353.00 ",277 Mayfield Point,Guamo,1609,Savings,2,mortgage," 568,653.67 ",Unsatisfactory,Unsatisfactory,Health Care," 12,737.19 ",La Roxas,44,11/2/2019,Huangxi,18,9/12/2022,,
3/15/2020," 7,013.70 "," 8,570.49 ",9/19/2021,5.10875E+15," 25,679.94 ",76 Sunbrook Pass,Killam,1431,Savings,2,mortgage," 133,624.19 ",Good,Good,Technology," 98,300.73 ",Shiree,91,5/22/2020,Lumbardhi,41,10/17/2021,,
8/11/2018," 2,429.14 "," 2,686.15 ",9/18/2021,5.10875E+15," 73,269.78 ",916 Vermont Crossing,Bella Vista,74,Savings,1,mortgage," 471,523.96 ",†Very Good†,†Very Good†,Technology," 97,585.59 ",Kyzyl-Oktyabr‚Äôskiy,4,8/9/2018,Uppsala,50,8/31/2018,,
3/21/2018," 7,582.89 "," 2,725.63 ",9/11/2020,5.04838E+15," 51,336.31 ",09015 Ridgeway Hill,Kudamatsu,529,Savings,3,education," 642,385.18 ",†Outstanding,†Outstanding,Capital Goods," 83,166.67 ",Villa Serrano,49,2/12/2020,Kronoby,30,1/30/2020,,
